Name;Birthday;Citizenship;Weight;Height;Link;Site
Хабиб Нурмагомедов;20 сентября 1988;Россия;70;177;https://www.sports.ru/habib-nurmagomedov/;https://www.sports.ru
Конор Макгрегор;14 июля 1988;Ирландия;70;175;https://www.sports.ru/conor-mcgregor/;https://www.sports.ru
Федор Емельяненко;28 сентября 1976;Россия;110;183;https://www.sports.ru/emelianenko/;https://www.sports.ru
Тони Фергюсон;12 февраля 1984;США;;182;https://www.sports.ru/tony-ferguson/;https://www.sports.ru
Геннадий Головкин;8 апреля 1982;Казахстан;72 кг;179 см;https://www.sports.ru/gennady-golovkin/;https://www.sports.ru
Майк Тайсон;30 июня 1966;США;;182;https://www.sports.ru/mike-tyson/;https://www.sports.ru
Александр Усик;17 января 1987;Украина;;190;https://www.sports.ru/oleksandr-usyk/;https://www.sports.ru
Дастин Порье;19 января 1989;США;70;175;https://www.sports.ru/dustin-poirier/;https://www.sports.ru
Петр Ян;11 февраля 1993;Россия;61;169;https://www.sports.ru/petr-yan/;https://www.sports.ru
Джон Джонс;19 июля 1987;США;93;193;https://www.sports.ru/jon-jones/;https://www.sports.ru
Василий Ломаченко;17 февраля 1988;Украина;;169;https://www.sports.ru/vasyl-lomachenko/;https://www.sports.ru
Ислам Махачев;27 октября 1991;Россия;70;178;https://www.sports.ru/islam-makhachev/;https://www.sports.ru
Хамзат Чимаев;1 мая 1994;Швеция;77;188;https://www.sports.ru/khamzat-chimaev/;https://www.sports.ru
Исраэль Адесанья;22 июля 1989;Новая Зеландия Нигерия;84;193;https://www.sports.ru/israel-adesanya/;https://www.sports.ru
Джастин Гейджи;14 ноября 1988;США;71;180;https://www.sports.ru/justin-gaethje/;https://www.sports.ru
Нейт Диаз;16 апреля 1985;США;77;182;https://www.sports.ru/nathan-diaz/;https://www.sports.ru
Александр Поветкин;2 сентября 1979;Россия;;188;https://www.sports.ru/povetkin/;https://www.sports.ru
Флойд Мейвезер-младший;24 февраля 1977;США;68;173;https://www.sports.ru/mayweather/;https://www.sports.ru
Сергей Ковалев;2 апреля 1983;Россия;80 кг;183 см;https://www.sports.ru/sergey-kovalev/;https://www.sports.ru
Рой Джонс-младший;16 января 1969;Россия США;;180;https://www.sports.ru/roy-jones/;https://www.sports.ru
Владимир Кличко;25 марта 1976;Украина;;198;https://www.sports.ru/volodymyr-klychko/;https://www.sports.ru
Тайсон Фьюри;12 августа 1988;Великобритания Ирландия;;206;https://www.sports.ru/tyson-fury/;https://www.sports.ru
Александр Емельяненко;2 августа 1981;Россия;115;193;https://www.sports.ru/yemelyanenko/;https://www.sports.ru
Забит Магомедшарипов;1 марта 1991;Россия;65;185;https://www.sports.ru/zabit-magomedsharipov/;https://www.sports.ru
Мэнни Пакьяо;17 декабря 1978;Филиппины;66;169;https://www.sports.ru/pacquiao/;https://www.sports.ru
Энтони Джошуа;15 октября 1989;Великобритания;;198;https://www.sports.ru/anthony-joshua/;https://www.sports.ru
Чарльз Оливейра;17 октября 1989;Бразилия;70;178;https://www.sports.ru/charles-oliveira/;https://www.sports.ru
Виталий Кличко;19 июля 1971;Украина;112;200;https://www.sports.ru/vitali-klitschko/;https://www.sports.ru
Александр Волков;24 октября 1988;Россия;113;200;https://www.sports.ru/alexandr-volkov/;https://www.sports.ru
Александр Шлеменко;20 мая 1984;Россия;85;178;https://www.sports.ru/alexander-shlemenko/;https://www.sports.ru
Сауль Альварес;18 июля 1990;Мексика;;175 см;https://www.sports.ru/saul-alvarez/;https://www.sports.ru
Магомед Исмаилов;21 июня 1986;Россия;84;175;https://www.sports.ru/magomed-ismailov/;https://www.sports.ru
Ронда Раузи;1 февраля 1987;США;61;170;https://www.sports.ru/ronda-rousey/;https://www.sports.ru
Деонтей Уайлдер;22 октября 1985;США;91;201;https://www.sports.ru/deontay-wilder/;https://www.sports.ru
Мохаммед Али;17 января 1942;США;;191;https://www.sports.ru/muhammad-ali/;https://www.sports.ru
Денис Лебедев;14 августа 1979;Россия;;180;https://www.sports.ru/denis-lebedev/;https://www.sports.ru
Дмитрий Бивол;18 декабря 1990;Россия;79;183;https://www.sports.ru/dmitry-bivol/;https://www.sports.ru
Хорхе Масвидаль;12 ноября 1984;США;77;180;https://www.sports.ru/jorge-masvidal/;https://www.sports.ru
Валентина Шевченко;7 марта 1988;Кыргызстан Перу Россия;61;165;https://www.sports.ru/valentina-shevchenko/;https://www.sports.ru
Даниэль Кормье;20 марта 1979;США;93;180;https://www.sports.ru/daniel-cormier/;https://www.sports.ru
Мурат Гассиев;12 октября 1993;Россия;90;192;https://www.sports.ru/murat-gassiev/;https://www.sports.ru
Артуро Гатти;15 апреля 1972;Канада;;178;https://www.sports.ru/gatti/;https://www.sports.ru
Кейн Веласкес;18 июля 1982;США;108;185;https://www.sports.ru/cain-velasquez/;https://www.sports.ru
Макс Холлоуэй;4 декабря 1991;США;65;180;https://www.sports.ru/max-holloway/;https://www.sports.ru
Анастасия Янькова;1 марта 1991;Россия;56;168;https://www.sports.ru/anastasia-yankova/;https://www.sports.ru
Джина Карано;16 апреля 1982;США;64;173;https://www.sports.ru/gina-carano/;https://www.sports.ru
Камару Усман;11 мая 1987;Нигерия;76;183;https://www.sports.ru/kamaru-usman/;https://www.sports.ru
Андерсон Сильва;14 апреля 1975;Бразилия;84;187;https://www.sports.ru/anderson-silva/;https://www.sports.ru
Жорж Сен-Пьер;19 мая 1981;Канада;77;178;https://www.sports.ru/georges-st-pierre/;https://www.sports.ru
Шон О'Мэлли;24 октября 1994;США;61;180;https://www.sports.ru/sean-omalley/;https://www.sports.ru
Фрэнсис Нганну;5 сентября 1986;Франция Камерун;113;193;https://www.sports.ru/francis-ngannou/;https://www.sports.ru
Стипе Миочич;19 августа 1982;США;110;193;https://www.sports.ru/stipe-miocic/;https://www.sports.ru
Зубайра Тухугов;15 января 1991;Россия;66;172;https://www.sports.ru/zubaira-tukhugov/;https://www.sports.ru
Колби Ковингтон;22 февраля 1988;США;77;180;https://www.sports.ru/colby-covington/;https://www.sports.ru
Магомед Анкалаев;2 июня 1992;Россия;93;188;https://www.sports.ru/magomed-ankalaev/;https://www.sports.ru
Сергей Харитонов;18 августа 1980;Россия;110;194;https://www.sports.ru/sergey-kharitonov/;https://www.sports.ru
Артур Бетербиев;21 января 1985;Россия;;183;https://www.sports.ru/artur-beterbiyev/;https://www.sports.ru
Ник Диаз;2 августа 1983;США;77;183;https://www.sports.ru/nick-diaz/;https://www.sports.ru
Алистар Оверим;17 мая 1980;Нидерланды;120;193;https://www.sports.ru/alistair-overeem/;https://www.sports.ru
Коди Гарбрандт;7 июля 1991;США;61;172;https://www.sports.ru/cody-garbrandt/;https://www.sports.ru
Мирко Филипович;10 сентября 1974;Хорватия;105;186;https://www.sports.ru/mirko-filipovic/;https://www.sports.ru
Райан Гарсия;8 августа 1998;США;61;178;https://www.sports.ru/ryan-garcia/;https://www.sports.ru
Энтони Петтис;27 января 1987;США;70 кг;177 см;https://www.sports.ru/anthony-pettis/;https://www.sports.ru
Джуниор Дос Сантос;30 января 1984;Бразилия;110;193;https://www.sports.ru/junior-dos-santos/;https://www.sports.ru
Леннокс Льюис;2 сентября 1965;Канада Великобритания;;196;https://www.sports.ru/lennox-lewis/;https://www.sports.ru
Владимир Минеев;16 февраля 1990;Россия;84;183;https://www.sports.ru/vladimir-mineev/;https://www.sports.ru
Тайрон Вудли;17 апреля 1982;США;71;175;https://www.sports.ru/tyron-woodley/;https://www.sports.ru
Джефф Монсон;18 января 1971;США;109;175;https://www.sports.ru/jeff-monson/;https://www.sports.ru
Руслан Проводников;20 января 1984;Россия;63 кг;168 см;https://www.sports.ru/ruslan-provodnikov/;https://www.sports.ru
Шавкат Рахмонов;23 сентября 1994;Казахстан;77;188;https://www.sports.ru/shavkat-rakhmonov/;https://www.sports.ru
Арман Царукян;11 октября 1996;Армения Россия;70;172;https://www.sports.ru/arman-tsarukyan/;https://www.sports.ru
Жозе Альдо;9 сентября 1986;Бразилия;65;170;https://www.sports.ru/jose-aldo/;https://www.sports.ru
Ти Джей Диллашоу;7 февраля 1986;США;61;167;https://www.sports.ru/tj-dillashaw/;https://www.sports.ru
Брок Леснар;12 июля 1977;США;129;188;https://www.sports.ru/brock-lesnar/;https://www.sports.ru
Андрей Орловский;4 февраля 1979;Беларусь США;110;191;https://www.sports.ru/andrei-arlovski/;https://www.sports.ru
Роуз Намаюнас;29 июня 1992;США;52;165;https://www.sports.ru/rose-namajunas/;https://www.sports.ru
Майкл Чендлер;24 апреля 1986;США;70 кг;173 см;https://www.sports.ru/michael-chandler/;https://www.sports.ru
Гегард Мусаси;1 августа 1985;Нидерланды Армения;84;187;https://www.sports.ru/gegard-mousasi/;https://www.sports.ru
Андрей Корешков;23 августа 1990;Россия;77 кг;183 см;https://www.sports.ru/andrey-koreshkov/;https://www.sports.ru
Алексей Олейник;20 июня 1977;Россия;109;187;https://www.sports.ru/aleksei-oleinik/;https://www.sports.ru
Холли Холм;17 октября 1981;США;61;172;https://www.sports.ru/holly-holm/;https://www.sports.ru
Александр Густафссон;15 января 1987;Швеция;92 кг;196 см;https://www.sports.ru/alexander-gustafsson/;https://www.sports.ru
Генри Сехудо;9 февраля 1987;США;61;165;https://www.sports.ru/henry-cejudo/;https://www.sports.ru
Деметриус Джонсон;13 августа 1986;США;56;160;https://www.sports.ru/demetrious-johnson/;https://www.sports.ru
Виталий Минаков;6 февраля 1985;Россия;108;188;https://www.sports.ru/vitaly-minakov/;https://www.sports.ru
Вадим Немков;20 июня 1992;Россия;93;183;https://www.sports.ru/vadim-nemkov/;https://www.sports.ru
Роберт Уиттакер;20 декабря 1990;Австралия;84;182;https://www.sports.ru/robert-whittaker/;https://www.sports.ru
Умар Нурмагомедов;3 января 1996;Россия;61;173;https://www.sports.ru/umar-nurmagomedov/;https://www.sports.ru
Сергей Павлович;13 мая 1992;Россия;97;191;https://www.sports.ru/sergey-pavlovich/;https://www.sports.ru
Олег Тактаров;26 августа 1967;Россия;94;183;https://www.sports.ru/oleg-taktarov/;https://www.sports.ru
Бадр Хари;8 декабря 1984;Нидерланды Марокко;102;197;https://www.sports.ru/badr-hari/;https://www.sports.ru
Йоэль Ромеро;30 апреля 1977;Куба;84;183;https://www.sports.ru/yoel-romero/;https://www.sports.ru
Джервонта Дэвис;7 ноября 1994;США;59;166;https://www.sports.ru/gervonta-davis/;https://www.sports.ru
Дональд Серроне;29 марта 1983;США;70;183;https://www.sports.ru/donald-cerrone/;https://www.sports.ru
Наталья Рагозина;5 апреля 1976;Россия;;181;https://www.sports.ru/natalia-ragozina/;https://www.sports.ru
Дэвид Хэй;13 октября 1980;Англия;;191;https://www.sports.ru/david-haye/;https://www.sports.ru
Бернард Хопкинс;15 января 1965;США;;186;https://www.sports.ru/bernard-hopkins/;https://www.sports.ru
Фабрисио Вердум;30 июля 1977;Бразилия;104;193;https://www.sports.ru/fabricio-werdum/;https://www.sports.ru
Дмитрий Пирог;27 июня 1980;Россия;;180;https://www.sports.ru/dmitry-pirog/;https://www.sports.ru
Сирил Ган;6 мая 1990;Франция;120;195;https://www.sports.ru/ciryl-gane/;https://www.sports.ru
Тимофей Цзю;2 ноября 1994;Австралия;69;174;https://www.sports.ru/tim-tszyu/;https://www.sports.ru
Деррик Льюис;7 февраля 1985;США;118;190;https://www.sports.ru/derrick-lewis/;https://www.sports.ru
Аманда Нуньес;30 мая 1988;Бразилия;61;172;https://www.sports.ru/amanda-nunes/;https://www.sports.ru
Пейдж ВанЗант;26 марта 1994;США;52;162;https://www.sports.ru/paige-vanzant/;https://www.sports.ru
Мовсар Евлоев;11 февраля 1994;Россия;66;170;https://www.sports.ru/movsar-evloev/;https://www.sports.ru
Александр Гвоздик;15 апреля 1987;Украина;;190;https://www.sports.ru/oleksandr-gvozdyk/;https://www.sports.ru
Алекс Волкановски;29 сентября 1988;Австралия;66;168;https://www.sports.ru/alexander-volkanovski/;https://www.sports.ru
Вячеслав Дацик;13 февраля 1980;Россия;103;185;https://www.sports.ru/viacheslav-datsik/;https://www.sports.ru
Довлетджан Ягшимурадов;22 мая 1989;Туркменистан;93;180;https://www.sports.ru/dovletdzhan-yagshimuradov/;https://www.sports.ru
