Name;Birthday;Citizenship;Weight;Height;Link
Хабиб Нурмагомедов;20 сентября 1988;Россия;70;177;https://www.sports.ru/habib-nurmagomedov/
Конор Макгрегор;14 июля 1988;Ирландия;70;175;https://www.sports.ru/conor-mcgregor/
Федор Емельяненко;28 сентября 1976;Россия;110;183;https://www.sports.ru/emelianenko/
Тони Фергюсон;12 февраля 1984;США;;182;https://www.sports.ru/tony-ferguson/
Геннадий Головкин;8 апреля 1982;Казахстан;72 кг;179 см;https://www.sports.ru/gennady-golovkin/
Майк Тайсон;30 июня 1966;США;;182;https://www.sports.ru/mike-tyson/
Александр Усик;17 января 1987;Украина;;190;https://www.sports.ru/oleksandr-usyk/
Дастин Порье;19 января 1989;США;70;175;https://www.sports.ru/dustin-poirier/
Петр Ян;11 февраля 1993;Россия;61;169;https://www.sports.ru/petr-yan/
Джон Джонс;19 июля 1987;США;93;193;https://www.sports.ru/jon-jones/
Василий Ломаченко;17 февраля 1988;Украина;;169;https://www.sports.ru/vasyl-lomachenko/
Ислам Махачев;27 октября 1991;Россия;70;178;https://www.sports.ru/islam-makhachev/
Хамзат Чимаев;1 мая 1994;Швеция;77;188;https://www.sports.ru/khamzat-chimaev/
Исраэль Адесанья;22 июля 1989;Новая Зеландия Нигерия;84;193;https://www.sports.ru/israel-adesanya/
Джастин Гейджи;14 ноября 1988;США;71;180;https://www.sports.ru/justin-gaethje/
Нейт Диаз;16 апреля 1985;США;77;182;https://www.sports.ru/nathan-diaz/
Александр Поветкин;2 сентября 1979;Россия;;188;https://www.sports.ru/povetkin/
Флойд Мейвезер-младший;24 февраля 1977;США;68;173;https://www.sports.ru/mayweather/
Сергей Ковалев;2 апреля 1983;Россия;80 кг;183 см;https://www.sports.ru/sergey-kovalev/
Рой Джонс-младший;16 января 1969;Россия США;;180;https://www.sports.ru/roy-jones/
Владимир Кличко;25 марта 1976;Украина;;198;https://www.sports.ru/volodymyr-klychko/
Тайсон Фьюри;12 августа 1988;Великобритания Ирландия;;206;https://www.sports.ru/tyson-fury/
Александр Емельяненко;2 августа 1981;Россия;115;193;https://www.sports.ru/yemelyanenko/
Забит Магомедшарипов;1 марта 1991;Россия;65;185;https://www.sports.ru/zabit-magomedsharipov/
Мэнни Пакьяо;17 декабря 1978;Филиппины;66;169;https://www.sports.ru/pacquiao/
Энтони Джошуа;15 октября 1989;Великобритания;;198;https://www.sports.ru/anthony-joshua/
Чарльз Оливейра;17 октября 1989;Бразилия;70;178;https://www.sports.ru/charles-oliveira/
Виталий Кличко;19 июля 1971;Украина;112;200;https://www.sports.ru/vitali-klitschko/
Александр Волков;24 октября 1988;Россия;113;200;https://www.sports.ru/alexandr-volkov/
Александр Шлеменко;20 мая 1984;Россия;85;178;https://www.sports.ru/alexander-shlemenko/
Сауль Альварес;18 июля 1990;Мексика;;175 см;https://www.sports.ru/saul-alvarez/
Магомед Исмаилов;21 июня 1986;Россия;84;175;https://www.sports.ru/magomed-ismailov/
Ронда Раузи;1 февраля 1987;США;61;170;https://www.sports.ru/ronda-rousey/
Деонтей Уайлдер;22 октября 1985;США;91;201;https://www.sports.ru/deontay-wilder/
Мохаммед Али;17 января 1942;США;;191;https://www.sports.ru/muhammad-ali/
Денис Лебедев;14 августа 1979;Россия;;180;https://www.sports.ru/denis-lebedev/
Дмитрий Бивол;18 декабря 1990;Россия;79;183;https://www.sports.ru/dmitry-bivol/
Хорхе Масвидаль;12 ноября 1984;США;77;180;https://www.sports.ru/jorge-masvidal/
Валентина Шевченко;7 марта 1988;Кыргызстан Перу Россия;61;165;https://www.sports.ru/valentina-shevchenko/
Даниэль Кормье;20 марта 1979;США;93;180;https://www.sports.ru/daniel-cormier/
Мурат Гассиев;12 октября 1993;Россия;90;192;https://www.sports.ru/murat-gassiev/
Артуро Гатти;15 апреля 1972;Канада;;178;https://www.sports.ru/gatti/
Кейн Веласкес;18 июля 1982;США;108;185;https://www.sports.ru/cain-velasquez/
Макс Холлоуэй;4 декабря 1991;США;65;180;https://www.sports.ru/max-holloway/
Анастасия Янькова;1 марта 1991;Россия;56;168;https://www.sports.ru/anastasia-yankova/
Джина Карано;16 апреля 1982;США;64;173;https://www.sports.ru/gina-carano/
Камару Усман;11 мая 1987;Нигерия;76;183;https://www.sports.ru/kamaru-usman/
Андерсон Сильва;14 апреля 1975;Бразилия;84;187;https://www.sports.ru/anderson-silva/
Жорж Сен-Пьер;19 мая 1981;Канада;77;178;https://www.sports.ru/georges-st-pierre/
Шон О'Мэлли;24 октября 1994;США;61;180;https://www.sports.ru/sean-omalley/
Фрэнсис Нганну;5 сентября 1986;Франция Камерун;113;193;https://www.sports.ru/francis-ngannou/
Стипе Миочич;19 августа 1982;США;110;193;https://www.sports.ru/stipe-miocic/
Зубайра Тухугов;15 января 1991;Россия;66;172;https://www.sports.ru/zubaira-tukhugov/
Колби Ковингтон;22 февраля 1988;США;77;180;https://www.sports.ru/colby-covington/
Магомед Анкалаев;2 июня 1992;Россия;93;188;https://www.sports.ru/magomed-ankalaev/
Сергей Харитонов;18 августа 1980;Россия;110;194;https://www.sports.ru/sergey-kharitonov/
Артур Бетербиев;21 января 1985;Россия;;183;https://www.sports.ru/artur-beterbiyev/
Ник Диаз;2 августа 1983;США;77;183;https://www.sports.ru/nick-diaz/
Алистар Оверим;17 мая 1980;Нидерланды;120;193;https://www.sports.ru/alistair-overeem/
Коди Гарбрандт;7 июля 1991;США;61;172;https://www.sports.ru/cody-garbrandt/
Мирко Филипович;10 сентября 1974;Хорватия;105;186;https://www.sports.ru/mirko-filipovic/
Райан Гарсия;8 августа 1998;США;61;178;https://www.sports.ru/ryan-garcia/
Энтони Петтис;27 января 1987;США;70 кг;177 см;https://www.sports.ru/anthony-pettis/
Джуниор Дос Сантос;30 января 1984;Бразилия;110;193;https://www.sports.ru/junior-dos-santos/
Леннокс Льюис;2 сентября 1965;Канада Великобритания;;196;https://www.sports.ru/lennox-lewis/
Владимир Минеев;16 февраля 1990;Россия;84;183;https://www.sports.ru/vladimir-mineev/
Тайрон Вудли;17 апреля 1982;США;71;175;https://www.sports.ru/tyron-woodley/
Руслан Проводников;20 января 1984;Россия;63 кг;168 см;https://www.sports.ru/ruslan-provodnikov/
Джефф Монсон;18 января 1971;США;109;175;https://www.sports.ru/jeff-monson/
Шавкат Рахмонов;23 сентября 1994;Казахстан;77;188;https://www.sports.ru/shavkat-rakhmonov/
Арман Царукян;11 октября 1996;Армения Россия;70;172;https://www.sports.ru/arman-tsarukyan/
Жозе Альдо;9 сентября 1986;Бразилия;65;170;https://www.sports.ru/jose-aldo/
Ти Джей Диллашоу;7 февраля 1986;США;61;167;https://www.sports.ru/tj-dillashaw/
Андрей Орловский;4 февраля 1979;Беларусь США;110;191;https://www.sports.ru/andrei-arlovski/
Роуз Намаюнас;29 июня 1992;США;52;165;https://www.sports.ru/rose-namajunas/
Майкл Чендлер;24 апреля 1986;США;70 кг;173 см;https://www.sports.ru/michael-chandler/
Гегард Мусаси;1 августа 1985;Нидерланды Армения;84;187;https://www.sports.ru/gegard-mousasi/
Брок Леснар;12 июля 1977;США;129;188;https://www.sports.ru/brock-lesnar/
Андрей Корешков;23 августа 1990;Россия;77 кг;183 см;https://www.sports.ru/andrey-koreshkov/
Холли Холм;17 октября 1981;США;61;172;https://www.sports.ru/holly-holm/
Алексей Олейник;20 июня 1977;Россия;109;187;https://www.sports.ru/aleksei-oleinik/
Александр Густафссон;15 января 1987;Швеция;92 кг;196 см;https://www.sports.ru/alexander-gustafsson/
Генри Сехудо;9 февраля 1987;США;61;165;https://www.sports.ru/henry-cejudo/
Виталий Минаков;6 февраля 1985;Россия;108;188;https://www.sports.ru/vitaly-minakov/
Деметриус Джонсон;13 августа 1986;США;56;160;https://www.sports.ru/demetrious-johnson/
Вадим Немков;20 июня 1992;Россия;93;183;https://www.sports.ru/vadim-nemkov/
Роберт Уиттакер;20 декабря 1990;Австралия;84;182;https://www.sports.ru/robert-whittaker/
Умар Нурмагомедов;3 января 1996;Россия;61;173;https://www.sports.ru/umar-nurmagomedov/
Сергей Павлович;13 мая 1992;Россия;97;191;https://www.sports.ru/sergey-pavlovich/
Олег Тактаров;26 августа 1967;Россия;94;183;https://www.sports.ru/oleg-taktarov/
Бадр Хари;8 декабря 1984;Нидерланды Марокко;102;197;https://www.sports.ru/badr-hari/
Йоэль Ромеро;30 апреля 1977;Куба;84;183;https://www.sports.ru/yoel-romero/
Джервонта Дэвис;7 ноября 1994;США;59;166;https://www.sports.ru/gervonta-davis/
Дональд Серроне;29 марта 1983;США;70;183;https://www.sports.ru/donald-cerrone/
Наталья Рагозина;5 апреля 1976;Россия;;181;https://www.sports.ru/natalia-ragozina/
