Name;Birthday;Weight;Height;Citizenship;Place_of_birth;Hand;Sex;Link
Фариа Луиш ;18.07.1999;;;Португалия;;;Мужской;https://www.liveresult.ru/tennis/players/Faria-Luis
Медведев Даниил ;11.02.1996;83;198;РОССИЯ;Moscow;Правая;Мужской;https://www.liveresult.ru/tennis/players/Daniil-Medvedev
Джокович Новак ;22.05.1987;77;188;Сербия;Belgrade;Правая;Мужской;https://www.liveresult.ru/tennis/players/Novak-Djokovic
Зверев Александр ;20.04.1997;90;198;Германия;Hamburg;Правая;Мужской;https://www.liveresult.ru/tennis/players/Alexander-Zverev
Хуркач Хуберт ;11.02.1997;79;196;Польша;Wroclaw;Правая;Мужской;https://www.liveresult.ru/tennis/players/Hubert-Hurkacz
Надаль Рафаэль ;03.06.1986;85;185;Испания;Manacor;Левая;Мужской;https://www.liveresult.ru/tennis/players/Rafael-Nadal
Уильямс Серена ;26.09.1981;70;175;США;Saginaw, MI;Правая;Женский;https://www.liveresult.ru/tennis/players/Serena-Williams
Весселс Луис ;27.08.1998;;;Германия;;;Мужской;https://www.liveresult.ru/tennis/players/Louis-Wessels
Руднев Валерий ;27.08.1998;;;;;;Мужской;https://www.liveresult.ru/tennis/players/Valery-Rudnev
Циципас Стефанос ;12.08.1998;85;193;Греция;Athens;Правая;Мужской;https://www.liveresult.ru/tennis/players/Stefanos-Tsitsipas
Соболенко Арина ;05.05.1998;74;182;Беларусь;Minsk;Правая;Женский;https://www.liveresult.ru/tennis/players/Aryna-Sabalenka
Гонсалес Рубен ;11.09.1985;;;Филиппины;;Правая;Мужской;https://www.liveresult.ru/tennis/players/Ruben-Gonzales
Берреттини Маттео ;12.04.1996;85;193;Италия;Rome;Правая;Мужской;https://www.liveresult.ru/tennis/players/Matteo-Berrettini
Саккари Мария ;25.07.1995;64;172;Греция;Athens;Правая;Женский;https://www.liveresult.ru/tennis/players/Maria-Sakkari
Федерер Роджер ;08.08.1981;85;185;Швейцария;Basel;Правая;Мужской;https://www.liveresult.ru/tennis/players/Roger-Federer
Рублёв Андрей ;20.10.1997;70;188;РОССИЯ;Moscow;Правая;Мужской;https://www.liveresult.ru/tennis/players/Andrey-Rublev
Koval V.;20.10.1997;;;;;;Мужской;https://www.liveresult.ru/tennis/players/Koval-V
Свитолина Элина ;12.09.1994;60;174;Украина;Odessa;Правая;Женский;https://www.liveresult.ru/tennis/players/Elina-Svitolina
Плишкова Каролина ;21.03.1992;72;186;Чехия;Louny;Правая;Женский;https://www.liveresult.ru/tennis/players/Karolina-Pliskova
Шарапова Мария ;19.04.1987;60;188;РОССИЯ;;;Женский;https://www.liveresult.ru/tennis/players/Maria-Sharapova
Мугуруса Гарбинье ;08.10.1993;73;182;Испания;Caracas;Правая;Женский;https://www.liveresult.ru/tennis/players/Garbine-Muguruza-Blanco
Тим Доминик ;03.09.1993;79;185;Австрия;Wiener Neustadt;Правая;Мужской;https://www.liveresult.ru/tennis/players/Dominic-Thiem
Фриц Тейлор ;28.10.1997;86;193;США;Rancho Santa Fe, CA;Правая;Мужской;https://www.liveresult.ru/tennis/players/Taylor-Fritz
Рууд Каспер ;22.12.1998;77;183;Норвегия;Oslo;Правая;Мужской;https://www.liveresult.ru/tennis/players/Ruud-Casper
Азаренко Виктория ;31.07.1989;70;183;Беларусь;Minsk;Правая;Женский;https://www.liveresult.ru/tennis/players/Victoria-Azarenka
Жабер Онс ;28.08.1994;67;167;Тунис;Ksar El Hellar;Правая;Женский;https://www.liveresult.ru/tennis/players/Ons-Jabeur
Швёнтек Ига ;31.05.2001;;;Польша;Warsaw;Правая;Женский;https://www.liveresult.ru/tennis/players/Iga-Swiatek
Осака Наоми ;16.10.1997;72;180;Япония;Osaka;Правая;Женский;https://www.liveresult.ru/tennis/players/Osaka-N
Бенчич Белинда ;10.03.1997;68;175;Швейцария;Flawil;Правая;Женский;https://www.liveresult.ru/tennis/players/Belinda-Bencic
Вильянуэва Гонсало ;13.01.1995;;;Аргентина;;Правая;Мужской;https://www.liveresult.ru/tennis/players/Gonzalo-Villanueva
Крейчикова Барбора ;18.12.1995;65;178;Чехия;Brno;Правая;Женский;https://www.liveresult.ru/tennis/players/Barbora-Krejcikova
Халеп Симона ;27.09.1991;60;168;Румыния;Constanta;Правая;Женский;https://www.liveresult.ru/tennis/players/Simona-Halep
Тома Саша ;27.09.1991;;;;;;Женский;https://www.liveresult.ru/tennis/players/Sacha-Thoma
Касаткина Дарья ;07.05.1997;62;170;РОССИЯ;Tolyatti;Правая;Женский;https://www.liveresult.ru/tennis/players/Daria-Kasatkina
Мария Татьяна ;08.08.1987;64;172;Германия;Bad Saulgau;Правая;Женский;https://www.liveresult.ru/tennis/players/Tatjana-Maria
Тарпищев Филипп ;08.08.1987;;;;;;Женский;https://www.liveresult.ru/tennis/players/Philipp-Tarpischev
Давидович Фокина Алехандро ;05.06.1999;80;180;Испания;Malaga;Правая;Мужской;https://www.liveresult.ru/tennis/players/Alejandro-Davidovich
Барти Эшли ;24.04.1996;60;166;Австралия;Ipswich;Правая;Женский;https://www.liveresult.ru/tennis/players/Ashleigh-Barty
Иванович Ана ;06.11.1987;69;184;Сербия;;;Женский;https://www.liveresult.ru/tennis/players/Ivanovic-A
Сергеев Иван ;20.01.1988;;;Украина;;Правая;Мужской;https://www.liveresult.ru/tennis/players/Ivan-Sergeyev
Павлюченкова Анастасия ;03.07.1991;72;177;РОССИЯ;Samara;Правая;Женский;https://www.liveresult.ru/tennis/players/Pavlyuchen-a
Дэйли Даниэлла ;15.06.2000;;;Великобритания;;;Женский;https://www.liveresult.ru/tennis/players/Danielle-Daley
Гоффен Давид ;07.12.1990;70;180;Бельгия;Rocourt;Правая;Мужской;https://www.liveresult.ru/tennis/players/David-Goffin
Зарицкая Анастасия ;08.01.1998;;;Украина;;;Мужской;https://www.liveresult.ru/tennis/players/Anastasia-Zarytska
Ларссон Юханна ;08.01.1998;;;Швеция;;;Женский;https://www.liveresult.ru/tennis/players/Johanna-Larsson
Авидзба Ален ;24.02.2000;76;188;РОССИЯ;Sochi;Правая;Мужской;https://www.liveresult.ru/tennis/players/Alen-Avidzba
Сеппи Андреас ;21.02.1984;78;191;Италия;Bolzano;Правая;Мужской;https://www.liveresult.ru/tennis/players/Andreas-Seppi
